node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
915,0,15,6,-10.0,39.25,300,-3.1070674271766394e+82,30000.0,-37759.0783,-5733.2665,0.0,-1.9673123533749806e+84,4.181e-05
976,0,16,1,-10.0,39.5,1000,-3.721770159300283e+82,100000.0,34608.9111,276.2761,0.0,794.34,0.00923965
976,0,16,2,-10.0,39.5,925,2.206340309651995e+82,92500.0,-47430.0621,-67420.695,-2.0,-1.6957269166393426e+83,0.00709463
976,0,16,3,-10.0,39.5,850,-1.2588540413197707e+82,85000.0,59441.5767,15715.0354,2.0,-5.458161434318883e+82,0.00588877
976,0,16,4,-10.0,39.5,700,6.259513886238224e+81,70000.0,-42859.7268,-44848.9432,-2.0,-2.3095271426895223e+83,0.00332626
976,0,16,5,-10.0,39.5,500,-2.5029426024421847e+81,50000.0,16707.4274,13824.0544,-2.0,-4.953465013201456e+82,0.00036901
976,0,16,6,-10.0,39.5,300,-2.8258899945374623e+82,30000.0,-8085.3547,81722.1741,0.0,-2.3049403723188763e+84,4.181e-05
1037,0,17,1,-10.0,39.75,1000,-4.440783918979871e+82,100000.0,-1504.9857,35191.4494,0.0,755.11,0.00942384
1037,0,17,2,-10.0,39.75,925,1.4992409920934858e+82,92500.0,12982.1422,-16805.885,2.0,-3.291510668559802e+83,0.0071924
1037,0,17,3,-10.0,39.75,850,-7.947752854876105e+81,85000.0,-12758.1018,27298.9762,2.0,-2.436540277477305e+83,0.00597245
1037,0,17,4,-10.0,39.75,700,1.1608756346298898e+81,70000.0,3010.0736,-28812.8737,2.0,-4.327840614578255e+83,0.00342989
1037,0,17,5,-10.0,39.75,500,-3.6521429329432104e+81,50000.0,-6864.1148,28272.5973,2.0,-5.530961376474066e+83,0.00036173
1037,0,17,6,-10.0,39.75,300,-1.676950662950998e+81,30000.0,24572.1105,30801.3365,0.0,-9.43816172429659e+83,3.923e-05
1098,0,18,1,-10.0,40.0,1000,-4.49958606961778e+82,100000.0,-8548.8171,67830.4253,0.0,725.69,0.00954843
1098,0,18,2,-10.0,40.0,925,1.3205225324725183e+82,92500.0,-3088.2047,-10579.7337,-2.0,-3.5572901054410655e+83,0.00764729
1098,0,18,3,-10.0,40.0,850,-1.0601532672991485e+82,85000.0,29685.9873,-5919.1712,-2.0,-3.241294578073713e+83,0.00588877
1098,0,18,4,-10.0,40.0,700,-2.3975089173217452e+81,70000.0,-18502.7741,-11342.6374,-2.0,-6.863739915438573e+83,0.00359072
1098,0,18,5,-10.0,40.0,500,8.065741629139452e+81,50000.0,-3493.9388,52345.4493,2.0,-4.1263506102195087e+83,0.00035457
1098,0,18,6,-10.0,40.0,300,-2.0255623673291376e+82,30000.0,35195.2823,-60622.7274,0.0,-1.3063763794240352e+84,2.913e-05
1159,0,19,1,-10.0,40.25,1000,-3.4911068714057005e+82,100000.0,-63368.5606,-90403.0851,0.0,696.27,0.00948595
1159,0,19,2,-10.0,40.25,925,8.178695849116487e+81,92500.0,-4652.5423,41190.939,2.0,-2.9912835769494385e+83,0.00769937
1159,0,19,3,-10.0,40.25,850,-1.3791119768473418e+82,85000.0,-21922.5825,43504.7186,2.0,-3.6724318895298164e+83,0.00572453
1159,0,19,4,-10.0,40.25,700,1.7096200014858285e+81,70000.0,-5613.3895,-8753.3321,2.0,-7.039185676356054e+83,0.00353638
1159,0,19,5,-10.0,40.25,500,5.283131176970405e+81,50000.0,-13174.4288,-15087.5936,2.0,-3.662139732202215e+83,0.00043221
1159,0,19,6,-10.0,40.25,300,-2.1058276948240347e+82,30000.0,22017.3585,-21944.0795,0.0,-1.5228207007122064e+84,2.588e-05
1220,0,20,1,-10.0,40.5,1000,-3.681475796742087e+82,100000.0,-104802.5673,98569.0515,0.0,666.85,0.00942384
1220,0,20,2,-10.0,40.5,925,1.309911949967475e+82,92500.0,110926.8911,-57230.5352,-2.0,-2.6537187784956166e+83,0.00739151
1220,0,20,3,-10.0,40.5,850,-8.913586071185523e+81,85000.0,20750.9453,116254.2014,-2.0,-2.1457441363394225e+83,0.00572453
1220,0,20,4,-10.0,40.5,700,-3.6520711020989283e+81,70000.0,24863.9081,32552.0135,-2.0,-5.647418157615689e+83,0.00322544
1220,0,20,5,-10.0,40.5,500,6.919639009392998e+81,50000.0,-49533.8974,-22576.9584,-2.0,-4.0693944775266193e+83,0.00042381
1220,0,20,6,-10.0,40.5,300,-1.8850377720448403e+82,30000.0,48807.6016,32293.8082,0.0,-1.2816808198601136e+84,1.548e-05
1281,0,21,1,-10.0,40.75,1000,-4.5235680204903744e+82,100000.0,43498.7259,-52421.8318,0.0,647.24,0.00917897
1281,0,21,2,-10.0,40.75,925,1.5319903357370052e+82,92500.0,71582.2674,-54950.008,-2.0,-3.347498272144533e+83,0.00759551
1281,0,21,3,-10.0,40.75,850,-7.1573440222620305e+81,85000.0,-15037.3726,109288.0714,-2.0,-2.3568543725862309e+83,0.00564395
1281,0,21,4,-10.0,40.75,700,-1.2188761717450344e+80,70000.0,23802.4328,68328.613,2.0,-4.385359207244603e+83,0.00293913
1281,0,21,5,-10.0,40.75,500,1.0141688712987953e+82,50000.0,49292.8781,12033.2807,2.0,4.5355580464563234e+82,0.00035457
1281,0,21,6,-10.0,40.75,300,-1.4051479467231937e+82,30000.0,32316.6134,11078.8047,0.0,-2.4130359562243612e+83,1.091e-05
1342,0,22,1,-10.0,41.0,1000,-4.586467894490078e+82,100000.0,49671.6159,18936.1713,0.0,617.82,0.00899904
1342,0,22,2,-10.0,41.0,925,1.693704846262507e+82,92500.0,-13544.003,-33054.3741,-2.0,-3.236927242443872e+83,0.00759551
1342,0,22,3,-10.0,41.0,850,-1.5963908146106423e+82,85000.0,20708.0197,-93713.3757,2.0,-3.1188226776381967e+83,0.00560403
1342,0,22,4,-10.0,41.0,700,2.244393099664775e+81,70000.0,7132.1401,137985.9162,2.0,-6.942042487006623e+83,0.00293913
1342,0,22,5,-10.0,41.0,500,-5.9092440925825766e+81,50000.0,17593.9048,-41723.795,2.0,-8.711928168008863e+83,0.00042381
1342,0,22,6,-10.0,41.0,300,-1.584702047677858e+82,30000.0,-40707.5662,-31441.6411,0.0,-2.466324952558824e+84,1.091e-05
1403,0,23,1,-10.0,41.25,1000,-5.111459131062124e+82,100000.0,-44691.8978,-3705.4229,0.0,617.82,0.00899904
1403,0,23,2,-10.0,41.25,925,2.8832789391969414e+82,92500.0,18721.2251,5471.3803,-2.0,-2.4932761667228074e+83,0.00759551
1403,0,23,3,-10.0,41.25,850,-1.871988850669416e+82,85000.0,-11324.1218,49278.4545,-2.0,-1.2659302868899957e+83,0.00560403
1403,0,23,4,-10.0,41.25,700,9.890197559199275e+81,70000.0,-5194.8628,-4903.9943,-2.0,-3.7265019052591954e+83,0.00293913
1403,0,23,5,-10.0,41.25,500,-3.813923593903339e+81,50000.0,-5583.9077,-25541.3747,-2.0,-7.920551007898411e+82,0.00042381
